entanglement_density,phase_alignment,info_flow_1,info_flow_2
0.5696,0.6204,507,508
0.6343,0.6342,518,533
0.5826,0.5659,534,538
0.5938,0.6073,507,510
0.614,0.6157,500,531
0.6269,0.5768,538,538
0.6045,0.5769,521,510
0.5937,0.5968,513,537
0.6037,0.5584,503,508
0.622,0.6229,525,507
0.6295,0.5913,523,539
0.6014,0.5885,531,510
0.6439,0.5536,516,501
0.5785,0.6008,528,526
0.6353,0.5545,501,537
0.621,0.6368,509,524
0.5565,0.572,503,515
0.6166,0.5732,509,520
0.5543,0.5871,524,526
0.6345,0.6177,508,520
0.6025,0.6303,534,519
0.6307,0.6058,512,502
0.5943,0.5744,512,522
0.597,0.5859,501,539
0.649,0.6416,516,525
0.5733,0.5514,533,503
0.6146,0.5975,522,510
0.5931,0.5586,538,502
0.5774,0.5917,524,504
0.5961,0.6437,507,516
0.6001,0.599,511,520
0.5553,0.5993,508,534
0.6324,0.5595,535,539
0.5675,0.6293,522,507
0.6213,0.5713,516,531
0.6076,0.6404,527,536
0.5819,0.6338,529,526
0.6272,0.6204,503,535
0.6169,0.6468,511,526
0.6387,0.6387,503,533
0.5603,0.6453,516,521
0.5754,0.5546,538,505
0.5771,0.6408,500,527
0.6215,0.5644,503,527
0.6469,0.589,531,512
0.5799,0.6146,500,505
0.6026,0.6017,536,518
0.6225,0.6105,526,520
0.5503,0.6086,506,536
0.6334,0.6062,525,505
0.5586,0.6271,503,527
0.5524,0.6422,532,536
0.6011,0.5783,520,511
0.6203,0.6305,532,500
0.6123,0.6468,507,500
0.636,0.5677,514,525
0.6013,0.6321,536,533
0.5952,0.5865,520,523
0.6249,0.5805,539,501
0.6033,0.5988,513,506
0.6181,0.6005,531,509
0.6419,0.5962,521,508
0.6089,0.609,515,528
0.5797,0.6002,537,513
0.5715,0.6459,529,511
0.5641,0.639,515,507
0.6305,0.6037,539,526
0.6065,0.5613,514,523
0.591,0.6339,522,503
0.555,0.5816,531,534
0.5682,0.5607,503,501
0.6113,0.5788,531,504
0.6361,0.633,510,519
0.5539,0.6454,523,509
0.6202,0.5857,527,514
0.5784,0.5864,533,527
0.6414,0.5919,530,501
0.621,0.5681,528,501
0.5638,0.6045,539,520
0.636,0.6422,510,505
0.5938,0.5934,522,500
0.5997,0.5858,504,502
0.5848,0.5929,538,501
0.5824,0.602,537,521
0.5516,0.598,537,512
0.6273,0.5983,509,513
0.579,0.5566,525,512
0.5581,0.6106,529,508
0.6115,0.5827,517,507
0.6258,0.6309,538,502
0.5763,0.5502,501,531
0.6006,0.5696,538,532
0.6499,0.6144,519,529
0.6095,0.6132,518,530
0.5636,0.5721,523,510
0.5535,0.5509,535,529
0.6221,0.5727,508,507
0.5688,0.5727,521,527
0.5849,0.6165,525,507
0.6123,0.5685,532,512
