entanglement_density,phase_alignment,info_flow_1,info_flow_2
0.3509,0.3814,472,456
0.3908,0.4228,484,467
0.3913,0.4311,491,451
0.375,0.3704,497,482
0.4021,0.4026,478,470
0.4048,0.377,488,483
0.4483,0.3831,474,470
0.3775,0.3967,479,486
0.3848,0.374,475,480
0.4244,0.446,463,452
0.4017,0.3793,480,457
0.4488,0.4446,483,485
0.3558,0.4036,478,478
0.3604,0.4427,484,450
0.408,0.4026,474,457
0.3821,0.3607,463,473
0.4192,0.3797,485,451
0.3924,0.4354,488,457
0.3858,0.4226,467,473
0.4134,0.4192,480,487
0.4095,0.4285,492,459
0.3572,0.3897,475,475
0.4265,0.3969,480,483
0.4138,0.3933,463,463
0.3777,0.4233,460,468
0.3838,0.3949,497,460
0.4156,0.3719,463,461
0.353,0.4109,473,453
0.4335,0.3511,465,470
0.3578,0.4095,467,452
0.3512,0.4053,498,473
0.4275,0.4439,492,460
0.4328,0.3893,496,457
0.3914,0.3823,488,459
0.4316,0.4463,498,466
0.4122,0.3558,487,460
0.3956,0.3832,473,483
0.4219,0.4482,467,482
0.3898,0.3527,484,480
0.3928,0.4229,468,485
0.3515,0.446,488,455
0.3868,0.4096,472,452
0.4192,0.4395,460,462
0.4351,0.3597,480,458
0.3764,0.3841,473,467
0.4102,0.3534,466,451
0.3747,0.3997,473,476
0.3919,0.3945,464,460
0.4133,0.4259,465,452
0.4385,0.3886,492,471
0.3701,0.3537,495,466
0.3642,0.3635,494,480
0.3643,0.3676,486,455
0.4486,0.4093,477,464
0.358,0.4022,482,452
0.3554,0.4198,493,478
0.3685,0.4467,498,487
0.4022,0.3792,480,483
0.421,0.4079,482,460
0.4192,0.3819,499,455
0.4162,0.3749,464,455
0.4341,0.4482,480,472
0.3693,0.3884,498,474
0.4409,0.4199,488,454
0.3949,0.3585,480,472
0.4105,0.4316,468,460
0.4302,0.37,490,453
0.3954,0.4375,473,450
0.3733,0.4014,469,479
0.3791,0.3933,465,456
0.427,0.3967,491,465
0.4344,0.4489,483,485
0.3567,0.4321,495,487
0.3761,0.3621,499,453
0.385,0.4439,478,476
0.4188,0.3785,493,469
0.3975,0.3946,487,482
0.4397,0.4476,480,488
0.3955,0.3859,465,454
0.395,0.3677,467,481
0.3784,0.3759,484,467
0.421,0.3846,482,464
0.4003,0.4244,492,484
0.4277,0.3912,497,484
0.4028,0.396,496,487
0.399,0.3663,478,454
0.3686,0.3588,469,453
0.4185,0.3797,491,469
0.3739,0.396,491,464
0.3938,0.3867,493,477
0.3634,0.3714,466,463
0.3676,0.4163,478,453
0.4065,0.3927,479,478
0.3579,0.3524,489,470
0.4053,0.3977,461,472
0.3516,0.4256,472,471
0.4448,0.3921,499,469
0.4145,0.3682,493,456
0.4315,0.4347,469,477
0.4438,0.4128,476,466
