entanglement_density,phase_alignment,info_flow_1,info_flow_2
0.5062,0.4704,491,491
0.524,0.5135,503,501
0.5168,0.4524,503,501
0.5026,0.5051,491,507
0.46,0.4709,508,495
0.5254,0.4846,491,503
0.53,0.5075,499,502
0.4865,0.5417,508,490
0.4978,0.4649,490,498
0.4913,0.5266,503,491
0.5163,0.5163,495,495
0.4958,0.5268,497,506
0.508,0.496,492,491
0.4528,0.5362,503,509
0.4947,0.4987,501,491
0.5315,0.5393,501,504
0.4649,0.4746,508,503
0.5059,0.5398,508,497
0.5239,0.4634,503,498
0.546,0.5131,496,492
0.5337,0.5152,506,491
0.4986,0.5221,506,494
0.4794,0.4521,507,497
0.5129,0.4621,501,496
0.4508,0.4632,508,500
0.5316,0.4681,504,508
0.4865,0.5241,507,504
0.4537,0.5426,501,491
0.537,0.5064,505,509
0.4867,0.4537,500,506
0.5293,0.5354,495,494
0.4682,0.4687,509,502
0.5352,0.4972,507,505
0.4778,0.5199,496,507
0.4912,0.5367,496,496
0.5298,0.5456,499,509
0.4942,0.4869,507,508
0.4849,0.4608,502,495
0.4769,0.4938,494,507
0.5253,0.5481,509,507
0.5002,0.4797,499,498
0.4597,0.4968,498,498
0.5122,0.5477,497,501
0.4854,0.4521,496,505
0.4925,0.5215,505,490
0.453,0.5438,503,500
0.5222,0.5382,497,491
0.4933,0.4758,499,509
0.5431,0.5172,499,495
0.4597,0.4801,497,507
0.4609,0.4941,499,491
0.5109,0.5169,508,507
0.5007,0.5301,501,497
0.5386,0.5181,502,505
0.4876,0.5424,503,502
0.4664,0.4771,490,490
0.5097,0.5124,507,507
0.53,0.5426,499,494
0.5034,0.4995,496,497
0.5152,0.4979,494,490
0.5395,0.5393,492,495
0.4594,0.5149,496,497
0.4906,0.4976,503,503
0.5457,0.4761,507,501
0.4638,0.5382,498,506
0.5419,0.5436,506,504
0.5487,0.4976,507,504
0.4983,0.5348,498,495
0.5466,0.4661,505,505
0.4855,0.5009,505,509
0.5222,0.4779,503,502
0.4787,0.4513,505,492
0.4938,0.5124,501,498
0.5377,0.4804,491,502
0.4681,0.5214,507,502
0.4859,0.4767,498,492
0.4892,0.4943,500,502
0.4598,0.5341,499,496
0.4535,0.4754,507,498
0.4586,0.5293,507,505
0.5206,0.5079,509,494
0.5213,0.5321,491,509
0.5409,0.4586,501,494
0.4677,0.5132,501,497
0.5314,0.5353,501,495
0.5384,0.5389,496,500
0.4819,0.4964,505,492
0.5054,0.4892,497,496
0.5413,0.4945,492,491
0.4982,0.485,507,496
0.5212,0.5256,491,501
0.542,0.5041,503,504
0.5402,0.5416,507,509
0.5441,0.4737,503,502
0.4994,0.4908,500,509
0.5215,0.488,503,509
0.526,0.4873,492,505
0.5351,0.5333,509,494
0.4976,0.4763,498,505
0.5452,0.4995,505,503
